review_id,entity_type,entity_id,issue_type,priority,status,created_at,reviewed_at,notes
review_0034,career,cr_0035,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0035,career,cr_0035,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0036,career,cr_0036,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0037,career,cr_0037,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0038,career,cr_0037,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0039,career,cr_0038,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0040,career,cr_0038,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0041,career,cr_0040,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0042,career,cr_0040,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0043,career,cr_0041,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0044,career,cr_0042,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0045,career,cr_0043,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0046,career,cr_0044,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0047,career,cr_0044,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0048,career,cr_0045,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0049,career,cr_0045,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0050,career,cr_0046,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0051,career,cr_0047,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0052,career,cr_0048,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0053,career,cr_0048,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0054,career,cr_0049,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0055,career,cr_0050,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0056,career,cr_0051,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0057,career,cr_0052,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0058,career,cr_0052,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0059,career,cr_0053,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0060,career,cr_0053,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0061,career,cr_0054,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0062,career,cr_0055,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0063,career,cr_0056,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0064,career,cr_0056,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0065,career,cr_0057,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0066,career,cr_0058,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0067,career,cr_0058,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0068,career,cr_0059,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0069,career,cr_0066,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0070,career,cr_0067,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0071,career,cr_0067,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0072,career,cr_0072,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0073,career,cr_0072,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0074,career,cr_0075,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0075,career,cr_0080,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0076,career,cr_0082,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0077,career,cr_0087,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0078,career,cr_0088,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0079,career,cr_0089,current_posting_coverage,medium,open,2026-09-08,,Add current/recent posting evidence when available.
review_0080,career,cr_0091,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0081,career,cr_0092,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
