posting_id,career_id,title,employer,location,posted_date,retrieved_date,employment_type,education_min,experience_min,salary_min,salary_max,salary_unit,currency,source_id,url,active_status,notes
post_0023,cr_0005,"Post Doctoral Associate, Elephant Communication",San Diego Zoo Wildlife Alliance,"Escondido, CA",2026-05-25,2026-09-08,,Doctorate/postdoctorate,,87264.0,98172.0,annual,USD,src_aza_elephantcomm,https://www.aza.org/jobs?job=51494,current_or_recent,Three-year postdoctoral research position.
post_0024,cr_0086,Conservation Genetics Post Doctoral Associate,San Diego Zoo Wildlife Alliance,"Escondido, CA",,2026-09-08,,Doctorate/postdoctorate,,87264.0,98172.0,annual,USD,src_aza_genetics,https://www.aza.org/jobs?job=51965,current_or_recent,Two-year conservation genetics postdoctoral position.
post_0025,cr_0076,Registrar,Lee Richardson Zoo,"Garden City, KS",,2026-09-08,,College degree preferred,3+ years related experience preferred,,,annual,USD,src_aza_registrar,https://www.aza.org/Jobs?job=52409,current_or_recent,"Records, permits, transfers, ZIMS, behavior/enrichment/training/diet databases."
post_0026,cr_0078,(Sr.) Trainer,John G. Shedd Aquarium,"Chicago, IL",,2026-09-08,,,Level depends on experience,26.0,35.0,hourly,USD,src_aza_senior_trainer,https://www.aza.org/JOBS?job=52529,current_or_recent,Trainer/Senior Trainer pay band.
post_0027,cr_0015,Animal Care Specialist - Aquarium Team,Kansas City Zoo & Aquarium,"Kansas City, MO",,2026-09-08,,,,17.5,17.5,hourly,USD,src_aza_aquariumcare,https://www.aza.org/jobs?job=51307,current_or_recent,SCUBA preferred; weekend/holiday work.
post_0028,cr_0074,"Manager, Wildlife Planning",Toronto Zoo,"Scarborough, ON",2026-04-16,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=49490,current_or_recent,Observed zoo wildlife-planning title.
post_0029,cr_0077,Animal Nutrition Manager,Jacksonville Zoo & Botanical Gardens,"Jacksonville, FL",2026-04-16,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=49490,current_or_recent,Observed zoo nutrition-management title.
post_0030,cr_0028,Sea Turtle Rehabilitation Technician,NC Aquarium on Roanoke Island,"Manteo, NC",2026-03-18,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=49122,current_or_recent,Observed rehabilitation title.
post_0031,cr_0026,Conservation Field Technician,Brevard Zoo,"Melbourne, FL",2026-03-17,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=49514,current_or_recent,Observed conservation-field title.
post_0032,cr_0070,Habitat Interpreter,Mystic Aquarium,"Mystic, CT",2026-05-22,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=50913,current_or_recent,Observed interpretation title.
post_0033,cr_0068,School & Teacher Programs Coordinator - Education,Aquarium of the Pacific,"Long Beach, CA",2026-05-22,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=50913,current_or_recent,Observed education-program title.
post_0034,cr_0025,Assistant Research Coordinator,Wildlife Conservation Society,"New York, NY",2026-04-17,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?job=49073,current_or_recent,Observed research coordination title.
post_0035,cr_0026,Wildlife Diversity/Natural Heritage Zoology Technician,West Virginia Division of Natural Resources,"Elkins, WV",,2026-09-08,,B.A./B.S.,0–1 year,15.0,17.0,hourly,USD,src_tws_diversitytech,https://careers.wildlife.org/job/wildlife-diversitynatural-heritage-zoology-technician-west-virginia/85441685/,current_or_recent,Temporary biodiversity technician; 50–75% travel.
post_0036,cr_0060,Quail Research Laboratory Manager,East Texas A&M University,"Commerce, TX",,2026-09-08,,B.A./B.S.,1–2 years,50000.0,60000.0,annual,USD,src_tws_labmanager,https://careers.wildlife.org/jobs/function/Wildlife/,current_or_recent,Current wildlife research lab manager posting.
post_0037,cr_0084,GCJV Coastal Grassland Incentive Program and Habitat Delivery Coordinator,American Bird Conservancy,"Lafayette, LA",,2026-09-08,,B.A./B.S.,3–5 years,74520.0,82800.0,annual,USD,src_tws_habitatdelivery,https://careers.wildlife.org/job/gulf-coast-joint-venture-gcjv-coastal-grassland-incentive-program-cgrip-and-habitat-delivery-coordinator/85122735/,current_or_recent,Habitat conservation delivery leadership.
post_0038,cr_0085,Regional Wildlife Program Manager - North Puget Sound Region 4,Washington Department of Fish & Wildlife,"Stanwood, WA",,2026-09-08,,B.A./B.S.,5–7 years,123552.0,123552.0,annual,USD,src_tws_wildlife_manager,https://careers.wildlife.org/job/regional-wildlife-program-manager-north-puget-sound-region-4/85512902/,current_or_recent,Regional wildlife program leadership.
post_0039,cr_0057,Conservation Impact Specialist,American Bird Conservancy,"Remote, U.S.",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/,current_or_recent,Featured current TWS posting.
post_0040,cr_0085,State Administrative Manager - Applied Research Section Manager,Michigan Department of Natural Resources,Michigan,,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/,current_or_recent,Featured current TWS posting.
post_0041,cr_0084,Rio Grande Joint Venture Conservation Delivery Specialist,American Bird Conservancy,"Alpine, TX",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/,current_or_recent,Featured current TWS posting.
post_0042,cr_0039,Assistant Regional Habitat Program Manager - Region 3,Washington Department of Fish & Wildlife,"Ellensburg, WA",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/,current_or_recent,Featured current TWS posting.
post_0043,cr_0027,Butte Area Wildlife Biologist,"Montana Fish, Wildlife & Parks","Butte, MT",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobs/?keywords=wildlife+technician,current_or_recent,Current TWS search result.
post_0044,cr_0081,Nongame and Wetlands Habitat Biologist,"Montana Fish, Wildlife & Parks","Helena, MT",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobs/?keywords=wildlife+technician,current_or_recent,Current TWS search result.
post_0045,cr_0090,Environmental DNA Lab Technician,Great Basin Institute & U.S. Forest Service,"Missoula, MT",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobs/?keywords=wildlife+technician,current_or_recent,Current TWS search result.
post_0046,cr_0026,Avian Use Technician,"Western EcoSystems Technology, Inc.","Lee County, AR",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobseeker/search/results/function/Field%20Technician/,current_or_recent,Current field-tech listing.
post_0047,cr_0026,Chronic Wasting Disease Technician,"Montana Fish, Wildlife & Parks",Montana,,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobseeker/search/results/function/Field%20Technician/,current_or_recent,Current disease-monitoring technician listing.
post_0048,cr_0026,Quail Research Technician,East Foundation,"Hebbronville, TX",,2026-09-08,,,,,,annual,USD,src_tws_jobs,https://careers.wildlife.org/jobs/?keywords=wildlife+technician,current_or_recent,Current research technician listing.
post_0049,cr_0028,Wildlife Rehabilitation Technician,Ohio Wildlife Center,"Powell, OH",2026-08-24,2026-09-08,,Bachelor’s,<1 year,18.0,18.0,hourly,USD,src_nwra_tech,https://www.nwrawildlife.org/networking/apply_now.aspx?id=1097691&view=2,current_or_recent,Full-time rehabilitation technician.
post_0050,cr_0093,Rehabilitator,Tucson Wildlife Center,"Tucson, AZ",2026-08-21,2026-09-08,,Intermediate/Advanced Wildlife Rehabilitator,<1 year,60000.0,60000.0,annual,USD,src_nwra_rehab,https://www.nwrawildlife.org/networking/apply_now.aspx?id=1097520&view=2,current_or_recent,"Duties include oversight of wildlife areas, staff, records, rehab, and release."
post_0051,cr_0028,Wildlife Rehabilitation Specialist,Chintimini Wildlife Center,"Corvallis, OR",2026-08-19,2026-09-08,,Bachelor’s,1–2 years,18.0,18.0,hourly,USD,src_nwra_specialist,https://www.nwrawildlife.org/networking/apply_now.aspx?id=1097322&view=2,current_or_recent,Full-time rehabilitation specialist.
post_0052,cr_0093,Wildlife Care Manager,Lake Metroparks,"Kirtland, OH",2026-08-14,2026-09-08,,Bachelor’s preferred,3–5 years,53040.0,91520.0,annual,USD,src_nwra_manager,https://www.nwrawildlife.org/networking/apply_now.aspx?id=1096932&view=2,current_or_recent,"Operations, supervision, permits, budget, public education."
post_0053,cr_0028,Seasonal Avian Care Technician,Native Songbird Care & Conservation,"Sebastopol, CA",2026-02-15,2026-09-08,,Intermediate/Advanced Wildlife Rehabilitator,1–2 years,20.0,22.0,hourly,USD,src_nwra_avian,https://www.nwrawildlife.org/networking/apply_now.aspx?id=1065489&view=2,current_or_recent,Seasonal wildlife-care role.
post_0054,cr_0026,Biological Science Technician (Wildlife),National Park Service,"Point Reyes Station, CA",,2026-09-08,,Graduate education may substitute at GS-7,GS-6 equivalent experience or graduate education,63081.0,82007.0,annual,USD,src_usajobs_wildtech,https://www.usajobs.gov/job/882687500,current_or_recent,Permanent career-seasonal GS-7.
post_0055,cr_0083,Wildlife Refuge Manager,U.S. Fish and Wildlife Service,"Winona, MN",,2026-09-08,,,Progressive federal/professional experience,89508.0,116362.0,annual,USD,src_usajobs_refuge,https://www.usajobs.gov/job/883089800,current_or_recent,GS-12 supervisory refuge manager.
post_0056,cr_0083,Wildlife Refuge Manager,U.S. Fish and Wildlife Service,"Ilwaco, WA",,2026-09-08,,,Progressive federal/professional experience,119630.0,155521.0,annual,USD,src_usajobs_refuge2,https://www.usajobs.gov/job/883251400,current_or_recent,GS-13 supervisory refuge manager.
post_0057,cr_0054,Fish and Wildlife Biologist,U.S. Fish and Wildlife Service,"State College, PA",,2026-09-08,,,,89508.0,116362.0,annual,USD,src_usajobs_fwbio,https://www.usajobs.gov/job/882387200,current_or_recent,GS-12 0401 biological-sciences position.
post_0058,cr_0054,Senior Fish and Wildlife Biologist,U.S. Fish and Wildlife Service,"Fort Worth, TX",,2026-09-08,,,,97307.0,126502.0,annual,USD,src_usajobs_seniorbio,https://doi.usajobs.gov/job/882813600,current_or_recent,GS-12 senior ecological-services position.
