alias_id,career_id,alias,alias_type,source_id,verification_status
alias_0067,cr_0012,Behavior Coordinator,searchable_title,,curated_search_term
alias_0068,cr_0012,Animal Behavior Manager,searchable_title,,curated_search_term
alias_0069,cr_0012,Shelter Behavior Specialist,alternate_term,,curated_search_term
alias_0070,cr_0012,Canine/Feline Behavior Specialist,alternate_term,,curated_search_term
alias_0071,cr_0013,Research Scientist,searchable_title,,curated_search_term
alias_0072,cr_0013,Postdoctoral Fellow,searchable_title,,curated_search_term
alias_0073,cr_0013,Professor,searchable_title,,curated_search_term
alias_0074,cr_0013,Companion Animal Welfare Scientist,alternate_term,,curated_search_term
alias_0075,cr_0013,Canine Cognition Researcher,alternate_term,,curated_search_term
alias_0076,cr_0013,Feline Behavior Researcher,alternate_term,,curated_search_term
alias_0077,cr_0014,Zookeeper,searchable_title,,curated_search_term
alias_0078,cr_0014,Animal Keeper,searchable_title,,curated_search_term
alias_0079,cr_0014,Animal Care Specialist,searchable_title,,curated_search_term
alias_0080,cr_0014,Keeper,searchable_title,,curated_search_term
alias_0081,cr_0014,Zoo Keeper,alternate_term,,curated_search_term
alias_0082,cr_0014,Animal Care Keeper,alternate_term,,curated_search_term
alias_0083,cr_0015,Aquarist,searchable_title,,curated_search_term
alias_0084,cr_0015,Aquarium Biologist,searchable_title,,curated_search_term
alias_0085,cr_0015,Aquarium Animal Care Specialist,searchable_title,,curated_search_term
alias_0086,cr_0015,Aquarium Keeper,alternate_term,,curated_search_term
alias_0087,cr_0015,Aquatic Animal Care Specialist,alternate_term,,curated_search_term
alias_0088,cr_0016,Animal Caregiver,searchable_title,,curated_search_term
alias_0089,cr_0016,Animal Care Specialist,searchable_title,,curated_search_term
alias_0090,cr_0016,Care Technician,searchable_title,,curated_search_term
alias_0091,cr_0016,Sanctuary Caregiver,alternate_term,,curated_search_term
alias_0092,cr_0016,Animal Care Technician,alternate_term,,curated_search_term
alias_0093,cr_0017,Behavioral Husbandry Manager,searchable_title,,curated_search_term
alias_0094,cr_0017,Keeper/Trainer,searchable_title,,curated_search_term
alias_0095,cr_0017,Animal Behavior Manager,searchable_title,,curated_search_term
alias_0096,cr_0017,Zoo Behavioral Husbandry Specialist,alternate_term,,curated_search_term
alias_0097,cr_0017,Training Coordinator,alternate_term,,curated_search_term
alias_0098,cr_0018,Animal Welfare Specialist,searchable_title,,curated_search_term
alias_0099,cr_0018,Animal Welfare Scientist,searchable_title,,curated_search_term
alias_0100,cr_0018,Applied Animal Welfare Manager,searchable_title,,curated_search_term
alias_0101,cr_0018,Zoo Welfare Specialist,alternate_term,,curated_search_term
alias_0102,cr_0018,Welfare & Behavior Specialist,alternate_term,,curated_search_term
alias_0103,cr_0019,Research Coordinator,searchable_title,,curated_search_term
alias_0104,cr_0019,Research Scientist,searchable_title,,curated_search_term
alias_0105,cr_0019,Animal Welfare Researcher,searchable_title,,curated_search_term
alias_0106,cr_0019,Applied Research Coordinator,searchable_title,,curated_search_term
alias_0107,cr_0019,Zoo Behavior Researcher,alternate_term,,curated_search_term
alias_0108,cr_0019,Applied Animal Behavior Researcher,alternate_term,,curated_search_term
alias_0109,cr_0020,Conservation Breeding Keeper,searchable_title,,curated_search_term
alias_0110,cr_0020,Conservation Husbandry Technician,searchable_title,,curated_search_term
alias_0111,cr_0020,Reintroduction Technician,searchable_title,,curated_search_term
alias_0112,cr_0020,Breeding Program Technician,alternate_term,,curated_search_term
alias_0113,cr_0020,Conservation Keeper,alternate_term,,curated_search_term
alias_0114,cr_0021,Conservation Scientist,searchable_title,,curated_search_term
alias_0115,cr_0021,Population Biologist,searchable_title,,curated_search_term
alias_0116,cr_0021,Research Scientist,searchable_title,,curated_search_term
alias_0117,cr_0021,Reintroduction Biologist,searchable_title,,curated_search_term
alias_0118,cr_0021,Conservation Breeding Scientist,alternate_term,,curated_search_term
alias_0119,cr_0021,Population Management Scientist,alternate_term,,curated_search_term
alias_0120,cr_0022,Animal Collection Manager,searchable_title,,curated_search_term
alias_0121,cr_0022,Animal Operations Manager,searchable_title,,curated_search_term
alias_0122,cr_0022,Curator,searchable_title,,curated_search_term
alias_0123,cr_0022,Registrar,searchable_title,,curated_search_term
alias_0124,cr_0022,Live-Collection Manager,alternate_term,,curated_search_term
alias_0125,cr_0022,Animal Management Specialist,alternate_term,,curated_search_term
alias_0126,cr_0023,Animal Curator,searchable_title,,curated_search_term
alias_0127,cr_0023,Curator of Animals,searchable_title,,curated_search_term
alias_0128,cr_0023,Zoological Curator,searchable_title,,curated_search_term
alias_0129,cr_0023,General Curator,searchable_title,,curated_search_term
alias_0130,cr_0023,Zoo Curator,alternate_term,,curated_search_term
alias_0131,cr_0023,Animal Collection Curator,alternate_term,,curated_search_term
alias_0132,cr_0024,Conservation & Research Coordinator,searchable_title,,curated_search_term
alias_0133,cr_0024,Conservation Program Coordinator,searchable_title,,curated_search_term
alias_0134,cr_0024,Field Conservation Coordinator,searchable_title,,curated_search_term
alias_0135,cr_0024,Zoo Conservation Coordinator,alternate_term,,curated_search_term
alias_0136,cr_0024,Conservation Programs Manager,alternate_term,,curated_search_term
alias_0137,cr_0025,Research Coordinator,searchable_title,,curated_search_term
alias_0138,cr_0025,Assistant Research Coordinator,searchable_title,,curated_search_term
alias_0139,cr_0025,Zoo Research Manager,searchable_title,,curated_search_term
alias_0140,cr_0025,Applied Research Coordinator,alternate_term,,curated_search_term
alias_0141,cr_0025,Conservation Research Coordinator,alternate_term,,curated_search_term
alias_0142,cr_0026,Biological Science Technician,searchable_title,,curated_search_term
alias_0143,cr_0026,Wildlife Technician,searchable_title,,curated_search_term
alias_0144,cr_0026,Fisheries & Wildlife Technician,searchable_title,,curated_search_term
alias_0145,cr_0026,Field Technician,searchable_title,,curated_search_term
alias_0146,cr_0026,Wildlife Tech,alternate_term,,curated_search_term
alias_0147,cr_0026,Biological Technician,alternate_term,,curated_search_term
alias_0148,cr_0027,Wildlife Biologist,searchable_title,,curated_search_term
alias_0149,cr_0027,Fish & Wildlife Biologist,searchable_title,,curated_search_term
alias_0150,cr_0027,Fisheries and Wildlife Biological Scientist,searchable_title,,curated_search_term
alias_0151,cr_0027,Habitat Biologist,searchable_title,,curated_search_term
alias_0152,cr_0027,Wildlife Scientist,alternate_term,,curated_search_term
alias_0153,cr_0027,Wildlife Research Biologist,alternate_term,,curated_search_term
alias_0154,cr_0028,Wildlife Rehabilitator,searchable_title,,curated_search_term
alias_0155,cr_0028,Rehabilitation Technician,searchable_title,,curated_search_term
alias_0156,cr_0028,Wildlife Care Specialist,searchable_title,,curated_search_term
alias_0157,cr_0028,Wildlife Rehabber,alternate_term,,curated_search_term
alias_0158,cr_0028,Rehabilitation Specialist,alternate_term,,curated_search_term
alias_0159,cr_0029,Rescue and Release Coordinator,searchable_title,,curated_search_term
alias_0160,cr_0029,Rehabilitation Coordinator,searchable_title,,curated_search_term
alias_0161,cr_0029,Release Coordinator,searchable_title,,curated_search_term
alias_0162,cr_0029,Wildlife Release Coordinator,alternate_term,,curated_search_term
alias_0163,cr_0029,Rehab/Release Manager,alternate_term,,curated_search_term
alias_0164,cr_0030,Reintroduction Biologist,searchable_title,,curated_search_term
alias_0165,cr_0030,Reintroduction Technician,searchable_title,,curated_search_term
alias_0166,cr_0030,Field Technician,searchable_title,,curated_search_term
alias_0167,cr_0030,Conservation Biologist,searchable_title,,curated_search_term
alias_0168,cr_0030,Release Technician,alternate_term,,curated_search_term
alias_0169,cr_0030,Species Reintroduction Technician,alternate_term,,curated_search_term
alias_0170,cr_0031,Monitoring Biologist,searchable_title,,curated_search_term
alias_0171,cr_0031,Reintroduction Biologist,searchable_title,,curated_search_term
alias_0172,cr_0031,Field Biologist,searchable_title,,curated_search_term
alias_0173,cr_0031,Telemetry Technician,searchable_title,,curated_search_term
alias_0174,cr_0031,Post-Release Monitor,alternate_term,,curated_search_term
alias_0175,cr_0031,Release Monitoring Biologist,alternate_term,,curated_search_term
alias_0176,cr_0032,Research Scientist,searchable_title,,curated_search_term
alias_0177,cr_0032,Postdoctoral Fellow,searchable_title,,curated_search_term
alias_0178,cr_0032,Professor,searchable_title,,curated_search_term
alias_0179,cr_0032,Behavioral Ecologist,alternate_term,,curated_search_term
alias_0180,cr_0032,Animal Behavior Ecologist,alternate_term,,curated_search_term
alias_0181,cr_0032,Behavioral Ecology Researcher,alternate_term,,curated_search_term
alias_0182,cr_0033,Conservation Biologist,searchable_title,,curated_search_term
alias_0183,cr_0033,Wildlife Biologist,searchable_title,,curated_search_term
alias_0184,cr_0033,Research Biologist,searchable_title,,curated_search_term
alias_0185,cr_0033,Conservation Scientist,alternate_term,,curated_search_term
alias_0186,cr_0033,Biodiversity Biologist,alternate_term,,curated_search_term
alias_0187,cr_0034,Species Recovery Biologist,searchable_title,,curated_search_term
alias_0188,cr_0034,Threatened & Endangered Species Biologist,searchable_title,,curated_search_term
alias_0189,cr_0034,Fish & Wildlife Biologist,searchable_title,,curated_search_term
alias_0190,cr_0034,Endangered Species Biologist,alternate_term,,curated_search_term
alias_0191,cr_0034,Species Recovery Specialist,alternate_term,,curated_search_term
alias_0192,cr_0035,Population Ecologist,searchable_title,,curated_search_term
alias_0193,cr_0035,Population Biologist,searchable_title,,curated_search_term
alias_0194,cr_0035,Wildlife Population Biologist,searchable_title,,curated_search_term
alias_0195,cr_0035,Quantitative Ecologist,searchable_title,,curated_search_term
alias_0196,cr_0035,Population Dynamics Ecologist,alternate_term,,curated_search_term
alias_0197,cr_0035,Population Scientist,alternate_term,,curated_search_term
alias_0198,cr_0036,Movement Ecologist,searchable_title,,curated_search_term
alias_0199,cr_0036,Spatial Ecologist,searchable_title,,curated_search_term
alias_0200,cr_0036,Spatial Wildlife Ecologist,searchable_title,,curated_search_term
alias_0201,cr_0036,Movement Biologist,searchable_title,,curated_search_term
alias_0202,cr_0036,Movement Ecology Scientist,alternate_term,,curated_search_term
alias_0203,cr_0036,Spatial Biologist,alternate_term,,curated_search_term
alias_0204,cr_0037,Wildlife Disease Ecologist,searchable_title,,curated_search_term
alias_0205,cr_0037,Disease Ecologist,searchable_title,,curated_search_term
alias_0206,cr_0037,Ecophysiologist,searchable_title,,curated_search_term
alias_0207,cr_0037,Physiological Ecologist,searchable_title,,curated_search_term
alias_0208,cr_0037,Wildlife Disease Biologist,alternate_term,,curated_search_term
alias_0209,cr_0037,Wildlife Physiologist,alternate_term,,curated_search_term
alias_0210,cr_0038,Wildlife Conflict Specialist,searchable_title,,curated_search_term
alias_0211,cr_0038,Human-Wildlife Conflict Biologist,searchable_title,,curated_search_term
alias_0212,cr_0038,Wildlife Biologist,searchable_title,,curated_search_term
alias_0213,cr_0038,Conflict Biologist,alternate_term,,curated_search_term
alias_0214,cr_0038,Wildlife Coexistence Specialist,alternate_term,,curated_search_term
alias_0215,cr_0039,Wildlife Habitat Biologist,searchable_title,,curated_search_term
alias_0216,cr_0039,Habitat Biologist,searchable_title,,curated_search_term
alias_0217,cr_0039,Wildlife Management Specialist,searchable_title,,curated_search_term
alias_0218,cr_0039,Habitat Management Biologist,alternate_term,,curated_search_term
alias_0219,cr_0039,Wildlife Manager,alternate_term,,curated_search_term
alias_0220,cr_0040,Zoologist,searchable_title,,curated_search_term
alias_0221,cr_0040,Research Zoologist,searchable_title,,curated_search_term
alias_0222,cr_0040,Vertebrate Zoologist,searchable_title,,curated_search_term
alias_0223,cr_0040,Animal Biologist,alternate_term,,curated_search_term
alias_0224,cr_0040,Zoological Researcher,alternate_term,,curated_search_term
alias_0225,cr_0041,Mammalogist,searchable_title,,curated_search_term
alias_0226,cr_0041,Mammal Ecologist,searchable_title,,curated_search_term
alias_0227,cr_0041,Mammal Biologist,searchable_title,,curated_search_term
alias_0228,cr_0041,Mammalian Ecologist,alternate_term,,curated_search_term
alias_0229,cr_0041,Mammal Researcher,alternate_term,,curated_search_term
alias_0230,cr_0042,Ornithologist,searchable_title,,curated_search_term
alias_0231,cr_0042,Avian Ecologist,searchable_title,,curated_search_term
alias_0232,cr_0042,Avian Biologist,searchable_title,,curated_search_term
alias_0233,cr_0042,Bird Ecologist,alternate_term,,curated_search_term
alias_0234,cr_0042,Avian Researcher,alternate_term,,curated_search_term
alias_0235,cr_0043,Herpetologist,searchable_title,,curated_search_term
alias_0236,cr_0043,Curator of Herpetology,searchable_title,,curated_search_term
alias_0237,cr_0043,Amphibian/Reptile Biologist,searchable_title,,curated_search_term
alias_0238,cr_0043,Herpetofaunal Biologist,alternate_term,,curated_search_term
alias_0239,cr_0043,Reptile/Amphibian Ecologist,alternate_term,,curated_search_term
alias_0240,cr_0044,Field Ecologist,searchable_title,,curated_search_term
alias_0241,cr_0044,Ecologist,searchable_title,,curated_search_term
alias_0242,cr_0044,Field Biologist,searchable_title,,curated_search_term
alias_0243,cr_0044,Field Ecology Scientist,alternate_term,,curated_search_term
alias_0244,cr_0044,Ecological Field Biologist,alternate_term,,curated_search_term
alias_0245,cr_0045,Ecological Technician,searchable_title,,curated_search_term
alias_0246,cr_0045,Research Technician,searchable_title,,curated_search_term
alias_0247,cr_0045,Field Technician,searchable_title,,curated_search_term
alias_0248,cr_0045,Biological Science Technician,searchable_title,,curated_search_term
alias_0249,cr_0045,Ecology Technician,alternate_term,,curated_search_term
alias_0250,cr_0045,Field Research Technician,alternate_term,,curated_search_term
alias_0251,cr_0046,Animal Physiologist,searchable_title,,curated_search_term
alias_0252,cr_0046,Comparative Physiologist,searchable_title,,curated_search_term
alias_0253,cr_0046,Physiological Ecologist,searchable_title,,curated_search_term
alias_0254,cr_0046,Research Scientist,searchable_title,,curated_search_term
alias_0255,cr_0046,Comparative Animal Physiologist,alternate_term,,curated_search_term
alias_0256,cr_0046,Organismal Physiologist,alternate_term,,curated_search_term
alias_0257,cr_0047,Neuroethologist,searchable_title,,curated_search_term
alias_0258,cr_0047,Behavioral Neuroscientist,searchable_title,,curated_search_term
alias_0259,cr_0047,Research Scientist,searchable_title,,curated_search_term
alias_0260,cr_0047,Professor,searchable_title,,curated_search_term
alias_0261,cr_0047,Neural Behavior Researcher,alternate_term,,curated_search_term
alias_0262,cr_0047,Comparative Neuroscientist,alternate_term,,curated_search_term
alias_0263,cr_0048,Evolutionary Biologist,searchable_title,,curated_search_term
alias_0264,cr_0048,Evolutionary Ecologist,searchable_title,,curated_search_term
alias_0265,cr_0048,Research Scientist,searchable_title,,curated_search_term
alias_0266,cr_0048,Professor,searchable_title,,curated_search_term
alias_0267,cr_0048,Animal Evolutionary Biologist,alternate_term,,curated_search_term
alias_0268,cr_0048,Evolutionary Zoologist,alternate_term,,curated_search_term
alias_0269,cr_0049,GIS Analyst,searchable_title,,curated_search_term
alias_0270,cr_0049,Geospatial Analyst,searchable_title,,curated_search_term
alias_0271,cr_0049,GIS Specialist,searchable_title,,curated_search_term
alias_0272,cr_0049,Spatial Analyst,searchable_title,,curated_search_term
alias_0273,cr_0049,Wildlife GIS Analyst,alternate_term,,curated_search_term
alias_0274,cr_0049,Conservation GIS Analyst,alternate_term,,curated_search_term
alias_0275,cr_0050,Research Assistant,searchable_title,,curated_search_term
alias_0276,cr_0050,Quantitative Research Assistant,searchable_title,,curated_search_term
alias_0277,cr_0050,Data/Research Technician,searchable_title,,curated_search_term
alias_0278,cr_0050,Quantitative Ecology RA,alternate_term,,curated_search_term
alias_0279,cr_0050,Ecological Data Technician,alternate_term,,curated_search_term
alias_0280,cr_0051,Quantitative Ecologist,searchable_title,,curated_search_term
alias_0281,cr_0051,Biometrician,searchable_title,,curated_search_term
alias_0282,cr_0051,Biostatistician,searchable_title,,curated_search_term
alias_0283,cr_0051,Ecological Statistician,searchable_title,,curated_search_term
alias_0284,cr_0051,Quantitative Biologist,alternate_term,,curated_search_term
alias_0285,cr_0051,Ecological Modeler,alternate_term,,curated_search_term
alias_0286,cr_0052,Ecologist,searchable_title,,curated_search_term
alias_0287,cr_0052,Environmental Scientist,searchable_title,,curated_search_term
alias_0288,cr_0052,Wildlife Biologist,searchable_title,,curated_search_term
alias_0289,cr_0052,Biological Consultant,searchable_title,,curated_search_term
alias_0290,cr_0052,Environmental Consultant,alternate_term,,curated_search_term
alias_0291,cr_0052,Ecological Consultant,alternate_term,,curated_search_term
alias_0292,cr_0053,Regulatory Permitting Biologist,searchable_title,,curated_search_term
alias_0293,cr_0053,Permitting Biologist,searchable_title,,curated_search_term
alias_0294,cr_0053,Environmental Compliance Biologist,searchable_title,,curated_search_term
alias_0295,cr_0053,Regulatory Biologist,alternate_term,,curated_search_term
alias_0296,cr_0053,Environmental Permitting Specialist,alternate_term,,curated_search_term
alias_0297,cr_0054,Wildlife Biologist,searchable_title,,curated_search_term
alias_0298,cr_0054,Fish & Wildlife Biologist,searchable_title,,curated_search_term
alias_0299,cr_0054,Biological Scientist,searchable_title,,curated_search_term
alias_0300,cr_0054,Habitat Biologist,searchable_title,,curated_search_term
alias_0301,cr_0054,Agency Biologist,alternate_term,,curated_search_term
alias_0302,cr_0054,Natural Resources Biologist,alternate_term,,curated_search_term
alias_0303,cr_0055,Natural Resource Specialist,searchable_title,,curated_search_term
alias_0304,cr_0055,Resource Manager,searchable_title,,curated_search_term
alias_0305,cr_0055,Conservation Scientist,searchable_title,,curated_search_term
alias_0306,cr_0055,Refuge Manager,searchable_title,,curated_search_term
alias_0307,cr_0055,Natural Resources Manager,alternate_term,,curated_search_term
alias_0308,cr_0055,Resource Conservation Manager,alternate_term,,curated_search_term
alias_0309,cr_0056,Natural Resource Specialist,searchable_title,,curated_search_term
alias_0310,cr_0056,Park Biologist,searchable_title,,curated_search_term
alias_0311,cr_0056,Resource Management Specialist,searchable_title,,curated_search_term
alias_0312,cr_0056,Wildlife Biologist,searchable_title,,curated_search_term
alias_0313,cr_0056,Park Resource Specialist,alternate_term,,curated_search_term
alias_0314,cr_0056,Natural Resource Biologist,alternate_term,,curated_search_term
alias_0315,cr_0057,Conservation Scientist,searchable_title,,curated_search_term
alias_0316,cr_0057,Program Scientist,searchable_title,,curated_search_term
alias_0317,cr_0057,Project Biologist,searchable_title,,curated_search_term
alias_0318,cr_0057,Conservation Coordinator,searchable_title,,curated_search_term
alias_0319,cr_0057,NGO Conservation Scientist,alternate_term,,curated_search_term
alias_0320,cr_0057,Conservation Program Coordinator,alternate_term,,curated_search_term
alias_0321,cr_0058,Habitat Restoration Specialist,searchable_title,,curated_search_term
alias_0322,cr_0058,Restoration Ecologist,searchable_title,,curated_search_term
alias_0323,cr_0058,Environmental Restoration Planner,searchable_title,,curated_search_term
alias_0324,cr_0058,Watershed Coordinator,searchable_title,,curated_search_term
alias_0325,cr_0058,Ecological Monitoring Specialist,alternate_term,,curated_search_term
alias_0326,cr_0058,Restoration Specialist,alternate_term,,curated_search_term
alias_0327,cr_0059,Research Assistant,searchable_title,,curated_search_term
alias_0328,cr_0059,Research Associate,searchable_title,,curated_search_term
alias_0329,cr_0059,Lab Technician,searchable_title,,curated_search_term
alias_0330,cr_0059,Biological Technician,searchable_title,,curated_search_term
alias_0331,cr_0059,University Research Assistant,alternate_term,,curated_search_term
alias_0332,cr_0059,Laboratory Research Assistant,alternate_term,,curated_search_term
alias_0333,cr_0060,Lab Manager,searchable_title,,curated_search_term
alias_0334,cr_0060,Laboratory Manager,searchable_title,,curated_search_term
alias_0335,cr_0060,Research Manager,searchable_title,,curated_search_term
alias_0336,cr_0060,Research Administrator,searchable_title,,curated_search_term
alias_0337,cr_0060,Research Lab Manager,alternate_term,,curated_search_term
alias_0338,cr_0060,Laboratory Operations Manager,alternate_term,,curated_search_term
alias_0339,cr_0061,N/A,searchable_title,,curated_search_term
alias_0340,cr_0061,Graduate program in animal behavior,alternate_term,,curated_search_term
alias_0341,cr_0061,ethology,alternate_term,,curated_search_term
alias_0342,cr_0061,comparative behavior,alternate_term,,curated_search_term
alias_0343,cr_0062,N/A,searchable_title,,curated_search_term
alias_0344,cr_0062,Graduate program in behavioral ecology,alternate_term,,curated_search_term
alias_0345,cr_0062,behavior & evolution,alternate_term,,curated_search_term
alias_0346,cr_0063,N/A,searchable_title,,curated_search_term
alias_0347,cr_0063,Graduate program in wildlife ecology,alternate_term,,curated_search_term
alias_0348,cr_0063,conservation biology,alternate_term,,curated_search_term
alias_0349,cr_0063,wildlife science,alternate_term,,curated_search_term
alias_0350,cr_0064,N/A,searchable_title,,curated_search_term
alias_0351,cr_0064,Graduate program in zoology,alternate_term,,curated_search_term
alias_0352,cr_0064,organismal biology,alternate_term,,curated_search_term
alias_0353,cr_0064,integrative biology,alternate_term,,curated_search_term
alias_0354,cr_0065,N/A,searchable_title,,curated_search_term
alias_0355,cr_0065,Graduate program in animal welfare science,alternate_term,,curated_search_term
alias_0356,cr_0065,applied animal behavior,alternate_term,,curated_search_term
alias_0357,cr_0066,Research Scientist,searchable_title,,curated_search_term
alias_0358,cr_0066,Staff Scientist,searchable_title,,curated_search_term
alias_0359,cr_0066,Research Biologist,searchable_title,,curated_search_term
alias_0360,cr_0066,Principal Investigator,searchable_title,,curated_search_term
alias_0361,cr_0066,PI,alternate_term,,curated_search_term
alias_0362,cr_0066,Principal Scientist,alternate_term,,curated_search_term
alias_0363,cr_0066,Lead Scientist,alternate_term,,curated_search_term
alias_0364,cr_0067,Assistant Professor,searchable_title,,curated_search_term
alias_0365,cr_0067,Associate Professor,searchable_title,,curated_search_term
alias_0366,cr_0067,Biology Professor,searchable_title,,curated_search_term
alias_0367,cr_0067,Lecturer,searchable_title,,curated_search_term
alias_0368,cr_0067,Professor of Biology,alternate_term,,curated_search_term
alias_0369,cr_0067,Faculty Researcher,alternate_term,,curated_search_term
alias_0370,cr_0068,Zoo Educator,searchable_title,,curated_search_term
alias_0371,cr_0068,Conservation Educator,searchable_title,,curated_search_term
alias_0372,cr_0068,Education Specialist,searchable_title,,curated_search_term
alias_0373,cr_0068,Interpreter,searchable_title,,curated_search_term
alias_0374,cr_0068,Aquarium Educator,alternate_term,,curated_search_term
alias_0375,cr_0068,Zoo Education Specialist,alternate_term,,curated_search_term
alias_0376,cr_0069,Environmental Educator,searchable_title,,curated_search_term
alias_0377,cr_0069,Wildlife Educator,searchable_title,,curated_search_term
alias_0378,cr_0069,Natural Resource Educator,searchable_title,,curated_search_term
alias_0379,cr_0069,Conservation Educator,alternate_term,,curated_search_term
alias_0380,cr_0069,Outdoor Educator,alternate_term,,curated_search_term
alias_0381,cr_0070,Interpretive Naturalist,searchable_title,,curated_search_term
alias_0382,cr_0070,Naturalist,searchable_title,,curated_search_term
alias_0383,cr_0070,Park Interpreter,searchable_title,,curated_search_term
alias_0384,cr_0070,Interpretive Ranger,searchable_title,,curated_search_term
alias_0385,cr_0070,Nature Interpreter,alternate_term,,curated_search_term
alias_0386,cr_0070,Interpretive Specialist,alternate_term,,curated_search_term
alias_0387,cr_0071,Outreach Coordinator,searchable_title,,curated_search_term
alias_0388,cr_0071,Conservation Engagement Coordinator,searchable_title,,curated_search_term
